,0
0,3
1,3
2,0
3,2
4,3
5,2
6,3
7,3
8,0
9,3
10,3
11,1
12,3
13,1
14,3
15,0
16,0
17,3
18,0
19,3
20,2
21,0
22,3
23,0
24,2
25,2
26,0
27,3
28,3
29,3
30,3
31,3
32,3
33,0
34,3
35,3
36,3
37,3
38,3
39,3
40,0
41,3
42,1
43,3
44,0
45,3
46,1
47,1
48,3
49,3
50,0
51,3
52,3
53,3
54,2
55,1
56,3
57,0
58,3
59,3
60,2
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,2
72,3
73,1
74,1
75,0
76,2
77,0
78,0
79,3
80,3
81,3
82,3
83,0
84,3
85,0
86,3
87,3
88,0
89,0
90,1
91,3
92,3
93,3
94,2
95,0
96,0
97,0
98,3
99,0
100,3
101,3
102,3
103,3
104,3
105,0
106,3
107,3
108,3
109,3
110,3
111,0
112,3
113,3
114,3
115,1
116,3
117,1
118,3
119,3
120,3
121,3
122,3
123,1
124,0
125,3
126,3
127,0
128,0
129,1
130,2
131,0
132,1
133,0
134,1
135,0
136,3
137,3
138,3
139,0
140,3
141,3
142,3
143,0
144,3
145,0
146,3
147,3
148,0
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,0
158,3
159,2
160,3
161,3
162,0
163,1
164,0
165,3
166,0
167,3
168,2
169,0
170,1
171,3
172,3
173,3
174,3
175,2
176,3
177,2
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,0
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,0
197,3
198,3
199,1
200,3
201,3
202,2
203,3
204,3
205,3
206,2
207,3
208,3
209,3
210,3
211,3
212,0
213,2
214,1
215,0
216,1
217,0
218,2
219,3
220,2
221,3
222,0
223,3
224,2
225,0
226,3
227,0
228,3
229,0
230,3
231,3
232,3
233,0
234,0
235,1
236,3
237,3
238,3
239,3
240,2
241,3
242,3
243,3
244,0
245,3
246,3
247,0
248,1
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,1
258,1
259,3
260,2
261,2
262,3
263,3
264,3
265,2
266,0
267,3
268,3
269,3
270,3
271,0
272,0
273,2
274,3
275,3
276,3
277,3
278,3
279,2
280,3
281,3
282,0
283,0
284,3
285,3
286,1
287,3
288,3
289,0
290,3
291,3
292,3
293,3
294,3
295,3
296,0
297,0
298,0
299,3
300,0
301,3
302,3
303,2
304,3
305,0
306,3
307,3
308,0
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,3
317,3
318,0
319,1
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,1
330,0
331,3
332,3
333,0
334,2
335,3
336,0
337,0
338,1
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,0
350,1
351,3
352,3
353,3
354,3
355,3
356,0
357,0
358,0
359,0
360,3
361,0
362,3
363,3
364,3
365,0
366,1
367,0
368,1
369,0
370,3
371,3
372,3
373,0
374,0
375,0
376,3
377,0
378,3
379,3
380,2
381,3
382,3
383,3
384,2
385,0
386,0
387,3
388,3
389,3
390,2
391,0
392,1
393,2
394,3
395,0
396,3
397,3
398,0
399,3
400,3
401,3
402,3
403,3
404,3
405,0
406,0
407,3
408,3
409,3
410,0
411,2
412,3
413,3
414,3
415,0
416,3
417,0
418,3
419,3
420,3
421,0
422,1
423,3
424,0
425,1
426,3
427,3
428,3
429,0
430,3
431,0
432,0
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,0
444,3
445,0
446,0
447,3
448,0
449,3
450,2
451,2
452,3
453,3
454,0
455,0
456,0
457,2
458,3
459,3
460,3
461,3
462,3
463,2
464,3
465,0
466,1
467,1
468,0
469,0
470,3
471,3
472,3
473,3
474,0
475,1
476,3
477,0
478,2
479,2
480,3
481,3
482,3
483,3
484,3
485,1
486,3
487,3
488,3
489,3
490,3
491,0
492,3
493,3
494,3
495,0
496,3
497,0
498,0
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,0
507,3
508,3
509,3
510,3
511,0
512,3
513,3
514,0
515,3
516,3
517,3
518,0
519,1
520,3
521,0
522,0
523,2
524,3
525,3
526,3
527,3
528,0
529,3
530,3
531,3
532,3
533,3
534,2
535,2
536,1
537,3
538,3
539,0
540,3
541,3
542,0
543,0
544,0
545,0
546,0
547,0
548,2
549,3
550,3
551,0
552,3
553,0
554,3
555,3
556,3
557,3
558,0
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,0
568,2
569,0
570,0
571,0
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
580,0
581,3
582,3
583,3
584,0
585,1
586,3
587,2
588,2
589,3
590,3
591,0
592,3
593,3
594,3
595,3
596,0
597,3
598,3
599,3
600,0
601,0
602,0
603,2
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,1
614,3
615,3
616,3
617,3
618,3
619,3
620,0
621,2
622,0
623,2
624,3
625,3
626,0
627,1
628,3
629,3
630,3
631,3
632,3
633,3
634,0
635,0
636,1
637,3
638,3
639,1
640,3
641,3
642,3
643,3
644,2
645,1
646,3
647,3
648,3
649,3
650,0
651,0
652,3
653,3
654,0
655,3
656,0
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,3
666,0
667,0
668,3
669,3
670,0
671,0
672,1
673,1
674,3
675,3
676,3
677,0
678,2
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,0
690,1
691,3
692,3
693,1
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,0
703,0
704,2
705,3
706,3
707,0
708,3
709,3
710,3
711,3
712,3
713,0
714,3
715,3
716,3
717,3
718,3
719,0
720,0
721,2
722,0
723,3
724,0
725,0
726,2
727,3
728,2
729,3
730,3
731,0
732,3
733,3
734,0
735,3
736,0
737,0
738,1
739,3
740,0
741,3
742,3
743,3
744,0
745,3
746,0
747,2
748,0
749,2
750,2
751,0
752,1
753,1
754,1
755,3
756,3
757,3
758,3
759,2
760,1
761,1
762,3
763,2
764,3
765,3
766,3
767,3
768,3
769,2
770,3
771,3
772,0
773,3
774,3
775,0
776,1
777,2
778,3
779,0
780,1
781,1
782,3
783,3
784,3
785,2
786,3
787,2
788,3
789,3
790,3
791,3
792,3
793,0
794,0
795,1
796,0
797,0
798,3
799,0
800,0
801,3
802,3
803,0
804,3
805,2
806,0
807,2
808,0
809,0
810,0
811,2
812,0
813,3
814,3
815,3
816,0
817,0
818,3
819,0
820,3
821,3
822,3
823,0
824,3
825,2
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,2
834,3
835,3
836,3
837,3
838,3
839,0
840,3
841,3
842,3
843,3
844,0
845,0
846,3
847,0
848,2
849,3
850,3
851,0
852,3
853,0
854,3
855,3
856,3
857,3
858,0
859,3
860,3
861,3
862,0
863,3
864,3
865,3
866,3
867,0
868,0
869,2
870,0
871,1
872,3
873,0
874,3
875,0
876,0
877,3
878,0
879,3
880,3
881,3
