,0
0,3
1,2
2,3
3,3
4,0
5,1
6,0
7,3
8,1
9,3
10,3
11,1
12,3
13,3
14,2
15,3
16,0
17,0
18,1
19,0
20,0
21,0
22,3
23,3
24,3
25,2
26,3
27,0
28,3
29,3
30,1
31,3
32,3
33,2
34,3
35,3
36,0
37,3
38,3
39,3
40,1
41,3
42,3
43,2
44,2
45,1
46,2
47,3
48,0
49,1
50,3
51,3
52,3
53,0
54,3
55,3
56,1
57,3
58,1
59,3
60,1
61,1
62,3
63,2
64,2
65,1
66,3
67,3
68,0
69,1
70,3
71,3
72,3
73,3
74,2
75,3
76,3
77,2
78,0
79,0
80,1
81,3
82,1
83,1
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,1
92,0
93,3
94,3
95,3
96,0
97,3
98,1
99,1
100,3
101,3
102,1
103,2
104,3
105,0
106,1
107,3
108,3
109,1
110,3
111,3
112,3
113,3
114,3
115,1
116,1
117,3
118,0
119,1
120,3
121,3
122,1
123,3
124,3
125,0
126,0
127,3
128,3
129,1
130,3
131,0
132,3
133,1
134,3
135,0
136,3
137,3
138,1
139,0
140,3
141,2
142,3
143,3
144,0
145,2
146,3
147,0
148,1
149,1
150,3
151,1
152,1
153,0
154,3
155,1
156,0
157,3
158,3
159,2
160,2
161,1
162,1
163,3
164,0
165,1
166,0
167,1
168,1
169,3
170,1
171,3
172,3
173,2
174,0
175,3
176,1
177,1
178,3
179,3
180,1
181,1
182,0
183,0
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,0
192,3
193,3
194,1
195,3
196,1
197,3
198,3
199,0
200,1
201,3
202,2
203,2
204,3
205,0
206,3
207,3
208,0
209,3
210,1
211,0
212,3
213,3
214,0
215,0
216,3
217,3
218,0
219,2
220,3
221,3
222,3
223,2
224,0
225,3
226,3
227,0
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,2
236,1
237,1
238,3
239,3
240,1
241,3
242,3
243,1
244,0
245,3
246,3
247,3
248,1
249,3
250,1
251,3
252,2
253,3
254,1
255,0
256,3
257,3
258,0
259,2
260,0
261,3
262,2
263,3
264,3
265,3
266,3
267,0
268,0
269,3
270,3
271,1
272,3
273,1
274,0
275,3
276,3
277,0
278,3
279,0
280,2
281,3
282,0
283,3
284,2
285,0
286,3
287,3
288,3
289,0
290,3
291,1
292,0
293,2
294,3
295,0
296,3
297,3
298,3
299,3
300,1
301,3
302,3
303,0
304,3
305,2
306,0
307,3
308,3
309,3
310,2
311,3
312,3
313,3
314,3
315,3
316,0
317,3
318,3
319,3
320,3
321,2
322,1
323,3
324,0
325,3
326,3
327,3
328,0
329,3
330,3
331,0
332,0
333,3
334,0
335,3
336,3
337,1
338,3
339,3
340,1
341,1
342,3
343,3
344,3
345,2
346,2
347,3
348,1
349,3
350,3
351,3
352,3
353,3
354,0
355,2
356,0
357,3
358,1
359,3
360,1
361,3
362,3
363,2
364,0
365,0
366,1
367,0
368,3
369,3
370,1
371,1
372,3
373,1
374,0
375,1
376,3
377,1
378,0
379,2
380,3
381,0
382,0
383,0
384,1
385,1
386,3
387,1
388,0
389,3
390,2
391,1
392,3
393,1
394,3
395,0
396,3
397,3
398,3
399,1
400,0
401,3
402,1
403,0
404,3
405,0
406,3
407,2
408,1
409,3
410,3
411,3
412,2
413,2
414,1
415,0
416,3
417,1
418,1
419,3
420,3
421,1
422,1
423,0
424,3
425,1
426,3
427,3
428,3
429,3
430,0
431,0
432,3
433,2
434,3
435,3
436,1
437,2
438,3
439,0
440,1
441,3
442,3
443,3
444,3
445,3
446,3
447,3
448,3
449,1
450,0
451,3
452,3
453,3
454,3
455,0
456,0
457,1
458,0
459,3
460,1
461,1
462,0
463,1
464,0
465,3
466,0
467,1
468,2
469,3
470,3
471,3
472,3
473,1
474,2
475,3
476,3
477,0
478,3
479,2
480,1
481,0
482,3
483,1
484,0
485,3
486,3
487,0
488,1
489,0
490,3
491,3
492,2
493,3
494,0
495,3
496,0
497,0
498,1
499,2
500,1
501,1
502,3
